Mænd,30-49 år,Arbejdsløse,1679.0,1437.0,1145.0,1210.0,1167.0,1238.0,2195.0,1452.0,756.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Studerende,728.0,646.0,549.0,605.0,666.0,697.0,690.0,689.0,569.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Pensionister mv.,3307.0,2417.0,2186.0,2319.0,2324.0,2455.0,2320.0,2311.0,2388.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Øvrige personer,8762.0,8236.0,8146.0,8571.0,9057.0,9486.0,8844.0,8588.0,8654.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,I alt,30976.0,32106.0,29888.0,28708.0,32019.0,36724.0,35609.0,34390.0,33855.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Selvstændige,3438.0,3940.0,3538.0,3255.0,3535.0,4200.0,3942.0,3775.0,3659.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Lønmodtagere,16176.0,16951.0,15791.0,14876.0,16672.0,20022.0,19346.0,18616.0,18667.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Arbejdsløse,550.0,563.0,469.0,458.0,465.0,494.0,859.0,678.0,310.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Studerende,26.0,26.0,26.0,25.0,20.0,19.0,32.0,22.0,26.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Pensionister mv.,7978.0,7562.0,7081.0,7063.0,7833.0,8323.0,8015.0,7855.0,7811.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Øvrige personer,2808.0,3064.0,2983.0,3031.0,3494.0,3666.0,3415.0,3444.0,3382.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,50-79 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,I alt,36388.0,35396.0,32868.0,31568.0,34818.0,41143.0,41140.0,38931.0,37636.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Selvstændige,1502.0,1654.0,1578.0,1450.0,1566.0,1888.0,1788.0,1650.0,1663.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Lønmodtagere,19428.0,19008.0,17595.0,15834.0,17750.0,21891.0,21619.0,21035.0,20647.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Arbejdsløse,743.0,720.0,653.0,560.0,597.0,659.0,1122.0,744.0,400.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Studerende,4142.0,3736.0,3346.0,3544.0,4122.0,4933.0,5409.0,4443.0,3946.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Pensionister mv.,4268.0,4061.0,3666.0,3689.0,3970.0,4226.0,4080.0,4338.0,4432.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Øvrige personer,6305.0,6217.0,6030.0,6491.0,6813.0,7546.0,7122.0,6721.0,6548.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,Alder i alt,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,I alt,9165.0,8836.0,8175.0,8630.0,9690.0,11743.0,12337.0,10585.0,9996.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Selvstændige,70.0,83.0,71.0,92.0,116.0,140.0,158.0,130.0,127.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Lønmodtagere,2861.0,2972.0,2853.0,2844.0,3331.0,4433.0,4658.0,4301.0,4250.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Arbejdsløse,101.0,131.0,116.0,97.0,87.0,109.0,206.0,125.0,65.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Studerende,3659.0,3287.0,2944.0,3151.0,3664.0,4363.0,4861.0,3916.0,3496.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Pensionister mv.,76.0,56.0,47.0,50.0,62.0,65.0,76.0,85.0,87.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Øvrige personer,2398.0,2307.0,2144.0,2396.0,2430.0,2633.0,2378.0,2028.0,1971.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,15-29 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,I alt,16559.0,15460.0,14076.0,13069.0,14320.0,17187.0,16565.0,16009.0,15520.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Selvstændige,798.0,818.0,808.0,726.0,792.0,953.0,808.0,754.0,782.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Lønmodtagere,10823.0,10074.0,8982.0,7937.0,8813.0,10838.0,10413.0,10118.0,9967.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Arbejdsløse,464.0,415.0,375.0,324.0,377.0,411.0,627.0,450.0,257.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Studerende,450.0,412.0,375.0,369.0,434.0,537.0,513.0,502.0,424.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Pensionister mv.,1000.0,766.0,634.0,666.0,697.0,780.0,753.0,777.0,784.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Øvrige personer,3024.0,2975.0,2902.0,3047.0,3207.0,3668.0,3451.0,3408.0,3306.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,30-49 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,I alt,10664.0,11100.0,10617.0,9869.0,10808.0,12213.0,12238.0,12337.0,12120.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Selvstændige,634.0,753.0,699.0,632.0,658.0,795.0,822.0,766.0,754.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Lønmodtagere,5744.0,5962.0,5760.0,5053.0,5606.0,6620.0,6548.0,6616.0,6430.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Arbejdsløse,178.0,174.0,162.0,139.0,133.0,139.0,289.0,169.0,78.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Studerende,33.0,37.0,27.0,24.0,24.0,33.0,35.0,25.0,26.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Pensionister mv.,3192.0,3239.0,2985.0,2973.0,3211.0,3381.0,3251.0,3476.0,3561.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Øvrige personer,883.0,935.0,984.0,1048.0,1176.0,1245.0,1293.0,1285.0,1271.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Kvinder,50-79 år,Uoplyst,2004.844262295082,1958.4180327868853,1844.0956284153006,1836.9398907103825,2007.1762295081967,2241.7868852459014,2153.2021857923496,2071.301912568306,2036.1502732240438,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Tabellen omfatter personer der er fundet skyldige i kriminalitet. ,50-79 år,Uoplyst,2004.844262295082,1958.4180327868853,1844.0956284153006,1836.9398907103825,2007.1762295081967,2241.7868852459014,2153.2021857923496,2071.301912568306,2036.1502732240438,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
I alt,Strafferetlige afgørelser i alt,,157611.0,154265.0,145423.0,144451.0,157946.0,176608.0,169737.0,163051.0,159764.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Straffelov i alt,,24300.0,23041.0,20940.0,20949.0,21520.0,23428.0,22283.0,22417.0,25515.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Seksualforbrydelser i alt,,553.0,573.0,609.0,629.0,1385.0,1020.0,996.0,1029.0,1175.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Blodskam m.v.,,16.0,10.0,8.0,9.0,12.0,8.0,17.0,10.0,7.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Voldtægt,,49.0,66.0,86.0,69.0,74.0,103.0,118.0,125.0,115.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Heteroseksuel sædelighedsforbrydelse mod barn under 12 år (Udgået 2013),,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Seksualforbrydelse mod barn under 12 år (Ny fra 2013),,47.0,42.0,41.0,40.0,56.0,46.0,51.0,32.0,40.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Heteroseksuel sædelighedsforbrydelse i øvrigt (Udgået 2013),,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Seksualforbrydelse mod barn under 15 år (Ny fra 2013),,71.0,86.0,62.0,64.0,78.0,72.0,66.0,65.0,84.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Seksualforbrydelse i øvrigt (Ny fra 2013),,21.0,20.0,26.0,30.0,33.0,37.0,12.0,7.0,10.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Grooming,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Homoseksuel sædelighedsforbrydelse mod barn under 12 år (Udgået 2013),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Homoseksuel sædelighedsforbrydelse i øvrigt (Udgået 2013),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Blufærdighedskrænkelse ved beføling,,105.0,91.0,106.0,109.0,91.0,122.0,127.0,113.0,120.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Blufærdighedskrænkelse ved blotteri,,71.0,67.0,60.0,66.0,70.0,108.0,92.0,96.0,102.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Blufærdighedskrænkelse i øvrigt,,111.0,123.0,124.0,168.0,503.0,250.0,235.0,252.0,251.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Utugt mv.,,60.0,66.0,96.0,74.0,468.0,274.0,278.0,328.0,446.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Voldsforbrydelser i alt,,5518.0,5475.0,6014.0,6098.0,6059.0,6688.0,5921.0,5939.0,6523.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Vold og lignende mod offentlig myndighed,,1318.0,1320.0,1562.0,1614.0,1578.0,1796.0,1629.0,1668.0,1803.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Opløb/forstyrrelse af offentlig orden,,61.0,70.0,48.0,41.0,78.0,96.0,44.0,96.0,82.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Manddrab,,30.0,19.0,29.0,27.0,19.0,31.0,27.0,21.0,31.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forsøg på manddrab,,28.0,34.0,33.0,28.0,33.0,31.0,34.0,30.0,23.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Psykisk vold mv.,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,48.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Simpel vold,,2654.0,2631.0,2874.0,2847.0,2716.0,2979.0,2485.0,2536.0,2834.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Alvorligere vold,,631.0,651.0,678.0,754.0,833.0,735.0,724.0,679.0,707.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Særlig alvorlig vold,,9.0,3.0,3.0,7.0,5.0,2.0,10.0,12.0,12.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Vold mod sagesløs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forsætlig legemsbeskadigelse,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Uagtsomt manddrab/legemsbeskadigelse,,10.0,12.0,10.0,11.0,9.0,14.0,10.0,6.0,12.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forbrydelse mod liv og legeme,,75.0,81.0,93.0,106.0,88.0,107.0,136.0,107.0,119.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forbrydelse mod den personlige frihed,,87.0,83.0,93.0,75.0,63.0,92.0,95.0,98.0,132.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Trusler,,615.0,571.0,591.0,588.0,637.0,804.0,723.0,666.0,720.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Ejendomsforbrydelser i alt,,16728.0,15490.0,12865.0,12880.0,12644.0,13966.0,13493.0,13501.0,15884.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Dokumentfalsk,,309.0,311.0,384.0,244.0,182.0,259.0,241.0,225.0,224.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Dokumentfalsk med check,,9.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Brandstiftelse,,127.0,125.0,123.0,129.0,124.0,155.0,170.0,118.0,136.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,"Indbrud i forretning, virksomhed mv.",,531.0,449.0,409.0,277.0,278.0,346.0,286.0,230.0,244.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Indbrud i beboelser,,434.0,429.0,312.0,266.0,279.0,255.0,227.0,210.0,179.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Indbrud i ubeboede bebyggelser,,104.0,119.0,96.0,68.0,63.0,77.0,84.0,75.0,66.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,"Tyveri fra bil, båd m.v.",,108.0,101.0,55.0,69.0,79.0,72.0,88.0,82.0,62.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Butikstyverier m.v.,,7880.0,7111.0,5811.0,6723.0,6526.0,6887.0,6342.0,6911.0,8848.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Andre tyverier,,1874.0,1630.0,1232.0,1260.0,1149.0,1224.0,1218.0,1040.0,1164.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Tyveri/brugstyveri af køretøj,,384.0,390.0,423.0,408.0,360.0,368.0,383.0,370.0,384.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Tyveri/brugstyveri af knallert,,73.0,48.0,36.0,48.0,43.0,41.0,33.0,28.0,21.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Tyveri/brugstyveri af cykel,,164.0,121.0,89.0,93.0,118.0,132.0,128.0,153.0,142.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Tyveri/brugstyveri af andet,,202.0,179.0,189.0,183.0,166.0,162.0,161.0,140.0,135.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Ulovlig omgang med hittegods,,274.0,204.0,200.0,180.0,136.0,199.0,194.0,142.0,160.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Underslæb,,174.0,118.0,77.0,43.0,72.0,92.0,65.0,75.0,77.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Bedrageri,,1399.0,1707.0,1289.0,955.0,1040.0,1282.0,1442.0,1347.0,1358.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Checkbedrageri,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Mandatsvig,,41.0,59.0,62.0,44.0,40.0,36.0,40.0,30.0,45.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Afpresning og åger,,33.0,38.0,50.0,58.0,62.0,58.0,63.0,69.0,56.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Skyldnersvig,,37.0,31.0,14.0,9.0,4.0,11.0,15.0,13.0,8.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Hæleri,,596.0,519.0,431.0,345.0,341.0,436.0,522.0,516.0,851.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Røveri,,421.0,398.0,378.0,317.0,321.0,384.0,397.0,303.0,303.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Grov skattesvig,,73.0,88.0,77.0,51.0,51.0,44.0,43.0,57.0,79.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Hærværk,,1162.0,1085.0,897.0,944.0,921.0,1190.0,1065.0,1100.0,1138.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Uagtsomt hæleri,,37.0,16.0,14.0,6.0,6.0,6.0,6.0,4.0,4.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Berigelsesforbrydelse og formuekrænkelse,,278.0,208.0,215.0,156.0,280.0,250.0,280.0,263.0,200.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Andre forbrydelser i alt,,2608.0,2434.0,2306.0,2273.0,2378.0,2893.0,2952.0,2993.0,3096.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forbrydelse mod offentlig myndighed mv.,,703.0,631.0,648.0,783.0,740.0,1043.0,1047.0,1110.0,1145.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forbrydelse i offentlig tjeneste,,20.0,20.0,37.0,15.0,29.0,23.0,46.0,27.0,28.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Falsk forklaring for retten,,43.0,49.0,23.0,20.0,16.0,24.0,19.0,9.0,13.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Falsk forklaring i øvrigt,,455.0,429.0,386.0,304.0,261.0,283.0,330.0,330.0,310.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Forbrydelse vedrørende penge og bevismateriale,,127.0,111.0,128.0,91.0,122.0,101.0,94.0,150.0,124.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Salg af narkotika m.v.,,592.0,525.0,428.0,438.0,453.0,511.0,502.0,533.0,666.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Smugling m.v. af narkotika,,78.0,58.0,49.0,58.0,90.0,127.0,169.0,98.0,81.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
I alt,Almenskadelige forbrydelser mv.,,104.0,143.0,165.0,166.0,143.0,141.0,127.0,118.0,106.0,"Skyldige personer efter socioøkonomisk status, overtrædelsens art og tid",,,,,,,,,,,,,
